Datetime,PJMW_MW
2002-04-01,5271.17
2002-04-02,5310.42
2002-04-03,5325.92
2002-04-04,5670.79
2002-04-05,5686.12
2002-04-06,5367.79
2002-04-07,5060.65
2002-04-08,5283.88
2002-04-09,5136.08
2002-04-10,5171.67
2002-04-11,5207.88
2002-04-12,5090.42
2002-04-13,4586.21
2002-04-14,4401.33
2002-04-15,5121.33
2002-04-16,5496.0
2002-04-17,5712.62
2002-04-18,5726.04
2002-04-19,5592.04
2002-04-20,4704.58
2002-04-21,4426.67
2002-04-22,5187.62
2002-04-23,5345.46
2002-04-24,5340.0
2002-04-25,5182.0
2002-04-26,5125.33
2002-04-27,4705.08
2002-04-28,4452.33
2002-04-29,5221.67
2002-04-30,5230.0
2002-05-01,5112.75
2002-05-02,5202.5
2002-05-03,4975.12
2002-05-04,4676.83
2002-05-05,4461.88
2002-05-06,5081.75
2002-05-07,5194.12
2002-05-08,5236.58
2002-05-09,5290.38
2002-05-10,5068.42
2002-05-11,4525.25
2002-05-12,4400.17
2002-05-13,5243.08
2002-05-14,5200.08
2002-05-15,5223.83
2002-05-16,5209.12
2002-05-17,5137.92
2002-05-18,4735.33
2002-05-19,4665.21
2002-05-20,5293.12
2002-05-21,5377.0
2002-05-22,5331.12
2002-05-23,5243.75
2002-05-24,5184.54
2002-05-25,4620.67
2002-05-26,4483.0
2002-05-27,4662.79
2002-05-28,5418.0
2002-05-29,5611.12
2002-05-30,5875.92
2002-05-31,5896.54
2002-06-01,5379.88
2002-06-02,4883.88
2002-06-03,5304.42
2002-06-04,5770.21
2002-06-05,6194.04
2002-06-06,5699.38
2002-06-07,5329.75
2002-06-08,4986.5
2002-06-09,5074.29
2002-06-10,6193.0
2002-06-11,6459.38
2002-06-12,6312.88
2002-06-13,5962.12
2002-06-14,5557.5
2002-06-15,4785.75
2002-06-16,4553.92
2002-06-17,5280.12
2002-06-18,5387.75
2002-06-19,5644.54
2002-06-20,5902.83
2002-06-21,5921.46
2002-06-22,5543.17
2002-06-23,5560.04
2002-06-24,6424.75
2002-06-25,6642.96
2002-06-26,6597.96
2002-06-27,6328.04
2002-06-28,5864.04
2002-06-29,5531.46
2002-06-30,5494.46
2002-07-01,6250.83
2002-07-02,6647.96
2002-07-03,6784.17
2002-07-04,6158.62
2002-07-05,5961.5
2002-07-06,5119.46
2002-07-07,4954.54
2002-07-08,6041.54
2002-07-09,6389.92
2002-07-10,6105.96
2002-07-11,5521.5
2002-07-12,5455.54
2002-07-13,5055.62
2002-07-14,5092.25
2002-07-15,6168.88
2002-07-16,6452.12
2002-07-17,6642.38
2002-07-18,6682.38
2002-07-19,6263.79
2002-07-20,5808.42
2002-07-21,5827.83
2002-07-22,6813.67
2002-07-23,6712.54
2002-07-24,6077.38
2002-07-25,5923.5
2002-07-26,5810.62
2002-07-27,5638.29
2002-07-28,6061.04
2002-07-29,7031.12
2002-07-30,6825.33
2002-07-31,6755.5
2002-08-01,6844.42
2002-08-02,6828.12
2002-08-03,6333.67
2002-08-04,6041.62
2002-08-05,6633.0
2002-08-06,5808.17
2002-08-07,5385.17
2002-08-08,5432.92
2002-08-09,5581.25
2002-08-10,5477.08
2002-08-11,5664.71
2002-08-12,6529.96
2002-08-13,6608.54
2002-08-14,6859.0
2002-08-15,6762.21
2002-08-16,6549.17
2002-08-17,6057.46
2002-08-18,5960.21
2002-08-19,6518.0
2002-08-20,6338.12
2002-08-21,6157.54
2002-08-22,6558.04
2002-08-23,6567.96
2002-08-24,5901.46
2002-08-25,5444.54
2002-08-26,5849.79
2002-08-27,5934.79
2002-08-28,5643.42
2002-08-29,5436.33
2002-08-30,5365.17
2002-08-31,4909.38
2002-09-01,4649.04
2002-09-02,4874.38
2002-09-03,6052.96
2002-09-04,6235.12
2002-09-05,5802.88
2002-09-06,5683.21
2002-09-07,5357.67
2002-09-08,5280.54
2002-09-09,5945.67
2002-09-10,6085.38
2002-09-11,5683.62
2002-09-12,5367.75
2002-09-13,5357.33
2002-09-14,5077.92
2002-09-15,5092.29
2002-09-16,5758.21
2002-09-17,5589.21
2002-09-18,5620.21
2002-09-19,5939.08
2002-09-20,6167.04
2002-09-21,5397.58
2002-09-22,5049.75
2002-09-23,5289.04
2002-09-24,5223.38
2002-09-25,5213.04
2002-09-26,5223.29
2002-09-27,5214.46
2002-09-28,4695.08
2002-09-29,4457.42
2002-09-30,5206.71
2002-10-01,5414.67
2002-10-02,5657.88
2002-10-03,5829.83
2002-10-04,5761.96
2002-10-05,5082.21
2002-10-06,4558.58
2002-10-07,5151.79
2002-10-08,5154.92
2002-10-09,5204.21
2002-10-10,5249.04
2002-10-11,5132.33
2002-10-12,4686.96
2002-10-13,4519.62
2002-10-14,5229.96
2002-10-15,5439.29
2002-10-16,5455.58
2002-10-17,5477.58
2002-10-18,5468.79
2002-10-19,5083.42
2002-10-20,4752.96
2002-10-21,5429.25
2002-10-22,5492.92
2002-10-23,5487.5
2002-10-24,5602.21
2002-10-25,5558.5
2002-10-26,4953.38
2002-10-27,4733.48
2002-10-28,5444.88
2002-10-29,5821.92
2002-10-30,5981.33
2002-10-31,5829.0
2002-11-01,5856.0
2002-11-02,5478.83
2002-11-03,5212.12
2002-11-04,5710.92
2002-11-05,5779.75
2002-11-06,5745.92
2002-11-07,5842.29
2002-11-08,5550.42
2002-11-09,4957.0
2002-11-10,4656.0
2002-11-11,5117.33
2002-11-12,5520.75
2002-11-13,5654.29
2002-11-14,5695.83
2002-11-15,5506.21
2002-11-16,5243.67
2002-11-17,5273.0
2002-11-18,6016.83
2002-11-19,6070.92
2002-11-20,5852.54
2002-11-21,5858.54
2002-11-22,5857.58
2002-11-23,5707.29
2002-11-24,5219.38
2002-11-25,5733.58
2002-11-26,5915.46
2002-11-27,6080.71
2002-11-28,5612.67
2002-11-29,5480.25
2002-11-30,5283.33
2002-12-01,5802.71
2002-12-02,6166.75
2002-12-03,6619.62
2002-12-04,6967.5
2002-12-05,6850.54
2002-12-06,6626.67
2002-12-07,6299.5
2002-12-08,5868.29
2002-12-09,6713.04
2002-12-10,6802.21
2002-12-11,6648.21
2002-12-12,6333.54
2002-12-13,6372.0
2002-12-14,5985.54
2002-12-15,5703.58
2002-12-16,6324.12
2002-12-17,6662.17
2002-12-18,6490.25
2002-12-19,6174.04
2002-12-20,5812.79
2002-12-21,5680.58
2002-12-22,5472.5
2002-12-23,5865.33
2002-12-24,5658.88
2002-12-25,5417.79
2002-12-26,6058.67
2002-12-27,6225.75
2002-12-28,6007.62
2002-12-29,5598.96
2002-12-30,6074.12
2002-12-31,5511.58
2003-01-01,5192.0
2003-01-02,5909.08
2003-01-03,6200.83
2003-01-04,6026.83
2003-01-05,5903.12
2003-01-06,6422.58
2003-01-07,6725.29
2003-01-08,6270.62
2003-01-09,5868.17
2003-01-10,6159.67
2003-01-11,6335.62
2003-01-12,6290.83
2003-01-13,6709.79
2003-01-14,6851.25
2003-01-15,7017.33
2003-01-16,7201.38
2003-01-17,6942.0
2003-01-18,6835.25
2003-01-19,6465.17
2003-01-20,6831.54
2003-01-21,6996.75
2003-01-22,7253.71
2003-01-23,7643.5
2003-01-24,7338.92
2003-01-25,6671.17
2003-01-26,6337.83
2003-01-27,7335.83
2003-01-28,7055.88
2003-01-29,6544.38
2003-01-30,6449.12
2003-01-31,6388.71
2003-02-01,5904.92
2003-02-02,5575.58
2003-02-03,6111.83
2003-02-04,6191.42
2003-02-05,6666.62
2003-02-06,6783.17
2003-02-07,6546.04
2003-02-08,6459.21
2003-02-09,6126.21
2003-02-10,6533.71
2003-02-11,6756.83
2003-02-12,6797.17
2003-02-13,7067.17
2003-02-14,6536.58
2003-02-15,6178.62
2003-02-16,6561.71
2003-02-17,6397.92
2003-02-18,6382.17
2003-02-19,6334.42
2003-02-20,6093.58
2003-02-21,6300.96
2003-02-22,5866.71
2003-02-23,5875.67
2003-02-24,6460.5
2003-02-25,6642.96
2003-02-26,6934.62
2003-02-27,6785.62
2003-02-28,6399.42
2003-03-01,5828.04
2003-03-02,5609.33
2003-03-03,6674.58
2003-03-04,6457.79
2003-03-05,5998.33
2003-03-06,6328.12
2003-03-07,6321.71
2003-03-08,5641.67
2003-03-09,5363.62
2003-03-10,6482.62
2003-03-11,6475.88
2003-03-12,6111.33
2003-03-13,5822.75
2003-03-14,5906.88
2003-03-15,5378.17
2003-03-16,4835.46
2003-03-17,5185.88
2003-03-18,5233.71
2003-03-19,5410.62
2003-03-20,5847.25
2003-03-21,5501.58
2003-03-22,4990.46
2003-03-23,4813.62
2003-03-24,5359.42
2003-03-25,5266.12
2003-03-26,5269.96
2003-03-27,5404.71
2003-03-28,5216.12
2003-03-29,4792.71
2003-03-30,5259.54
2003-03-31,6098.04
2003-04-01,5832.67
2003-04-02,5349.71
2003-04-03,5208.79
2003-04-04,5107.25
2003-04-05,4850.17
2003-04-06,4918.7
2003-04-07,5941.0
2003-04-08,5925.33
2003-04-09,5836.17
2003-04-10,5686.33
2003-04-11,5716.88
2003-04-12,4923.71
2003-04-13,4676.33
2003-04-14,5270.0
2003-04-15,5253.38
2003-04-16,5253.58
2003-04-17,5141.12
2003-04-18,5204.54
2003-04-19,4838.62
2003-04-20,4486.79
2003-04-21,5123.96
2003-04-22,5279.29
2003-04-23,5433.46
2003-04-24,5445.08
2003-04-25,5262.46
2003-04-26,4809.58
2003-04-27,4595.04
2003-04-28,5211.17
2003-04-29,5163.92
2003-04-30,5217.17
2003-05-01,5327.38
2003-05-02,5196.83
2003-05-03,4575.96
2003-05-04,4426.71
2003-05-05,5266.33
2003-05-06,5307.25
2003-05-07,5302.38
2003-05-08,5315.29
2003-05-09,5206.12
2003-05-10,4835.46
2003-05-11,4711.21
2003-05-12,5201.42
2003-05-13,5250.42
2003-05-14,5251.38
2003-05-15,5218.5
2003-05-16,5178.21
2003-05-17,4770.75
2003-05-18,4625.0
2003-05-19,5257.38
2003-05-20,5236.92
2003-05-21,5228.75
2003-05-22,5301.54
2003-05-23,5178.75
2003-05-24,4555.33
2003-05-25,4345.88
2003-05-26,4427.5
2003-05-27,5065.17
2003-05-28,5220.62
2003-05-29,5082.29
2003-05-30,5213.25
2003-05-31,4754.42
2003-06-01,4480.17
2003-06-02,5191.5
2003-06-03,5321.92
2003-06-04,5308.17
2003-06-05,5265.71
2003-06-06,5262.92
2003-06-07,4797.38
2003-06-08,4661.33
2003-06-09,5304.42
2003-06-10,5509.21
2003-06-11,5677.42
2003-06-12,5828.33
2003-06-13,5704.17
2003-06-14,5304.42
2003-06-15,5057.5
2003-06-16,5524.58
2003-06-17,5346.17
2003-06-18,5504.38
2003-06-19,5675.33
2003-06-20,5202.79
2003-06-21,4663.88
2003-06-22,4694.88
2003-06-23,5595.83
2003-06-24,6021.79
2003-06-25,6301.96
2003-06-26,6566.5
2003-06-27,5907.38
2003-06-28,5140.92
2003-06-29,5272.08
2003-06-30,5865.54
2003-07-01,5802.12
2003-07-02,5691.83
2003-07-03,5648.58
2003-07-04,5400.21
2003-07-05,5603.54
2003-07-06,5752.17
2003-07-07,6193.25
2003-07-08,6303.79
2003-07-09,6212.21
2003-07-10,5892.58
2003-07-11,5800.12
2003-07-12,5184.46
2003-07-13,4992.25
2003-07-14,5850.12
2003-07-15,6162.58
2003-07-16,6445.79
2003-07-17,6121.29
2003-07-18,5761.25
2003-07-19,5273.25
2003-07-20,5115.25
2003-07-21,6164.46
2003-07-22,6097.29
2003-07-23,5828.25
2003-07-24,5790.38
2003-07-25,5910.46
2003-07-26,5699.83
2003-07-27,5735.04
2003-07-28,6071.88
2003-07-29,5875.08
2003-07-30,6046.25
2003-07-31,5995.79
2003-08-01,5828.92
2003-08-02,5804.33
2003-08-03,5465.0
2003-08-04,6067.04
2003-08-05,5983.5
2003-08-06,5990.5
2003-08-07,5995.17
2003-08-08,5960.38
2003-08-09,5582.75
2003-08-10,5449.29
2003-08-11,6052.12
2003-08-12,6304.21
2003-08-13,6524.62
2003-08-14,6821.12
2003-08-15,6691.12
2003-08-16,5970.12
2003-08-17,5576.33
2003-08-18,6076.71
2003-08-19,6149.71
2003-08-20,6438.62
2003-08-21,6718.42
2003-08-22,6726.75
2003-08-23,5682.12
2003-08-24,5043.79
2003-08-25,6155.92
2003-08-26,6413.92
2003-08-27,6110.04
2003-08-28,6309.79
2003-08-29,6476.5
2003-08-30,5552.79
2003-08-31,4843.12
2003-09-01,5240.04
2003-09-02,5864.33
2003-09-03,5971.71
2003-09-04,5968.67
2003-09-05,5389.62
2003-09-06,4875.38
2003-09-07,4750.38
2003-09-08,5551.67
2003-09-09,5633.92
2003-09-10,5520.33
2003-09-11,5543.38
2003-09-12,5342.92
2003-09-13,5038.0
2003-09-14,5162.25
2003-09-15,5709.5
2003-09-16,5485.79
2003-09-17,5462.79
2003-09-18,5284.79
2003-09-19,5081.29
2003-09-20,4856.67
2003-09-21,4741.71
2003-09-22,5464.88
2003-09-23,5428.42
2003-09-24,5302.96
2003-09-25,5354.83
2003-09-26,5280.88
2003-09-27,4948.54
2003-09-28,4575.04
2003-09-29,5143.38
2003-09-30,5255.17
2003-10-01,5298.92
2003-10-02,5409.79
2003-10-03,5450.04
2003-10-04,5005.54
2003-10-05,4741.83
2003-10-06,5313.0
2003-10-07,5374.25
2003-10-08,5333.0
2003-10-09,5304.62
2003-10-10,5201.71
2003-10-11,4765.5
2003-10-12,4609.17
2003-10-13,5234.79
2003-10-14,5332.29
2003-10-15,5356.5
2003-10-16,5451.5
2003-10-17,5406.46
2003-10-18,4969.42
2003-10-19,4783.08
2003-10-20,5424.0
2003-10-21,5317.58
2003-10-22,5479.08
2003-10-23,5769.17
2003-10-24,5657.04
2003-10-25,5096.79
2003-10-26,4803.26
2003-10-27,5495.71
2003-10-28,5662.75
2003-10-29,5615.5
2003-10-30,5575.58
2003-10-31,5279.96
2003-11-01,4804.29
2003-11-02,4632.54
2003-11-03,5258.29
2003-11-04,5332.42
2003-11-05,5390.0
2003-11-06,5411.42
2003-11-07,5346.67
2003-11-08,5260.25
2003-11-09,5350.96
2003-11-10,5993.42
2003-11-11,5820.38
2003-11-12,5553.71
2003-11-13,5889.12
2003-11-14,6036.25
2003-11-15,5353.88
2003-11-16,5060.67
2003-11-17,5545.17
2003-11-18,5739.33
2003-11-19,5539.42
2003-11-20,5609.42
2003-11-21,5547.96
2003-11-22,5125.79
2003-11-23,4970.21
2003-11-24,5621.88
2003-11-25,6040.67
2003-11-26,5943.79
2003-11-27,5012.21
2003-11-28,5019.08
2003-11-29,5717.33
2003-11-30,5442.21
2003-12-01,5804.96
2003-12-02,6443.67
2003-12-03,6644.62
2003-12-04,6569.29
2003-12-05,6531.58
2003-12-06,6192.79
2003-12-07,6130.29
2003-12-08,6625.54
2003-12-09,6501.12
2003-12-10,6370.08
2003-12-11,6351.67
2003-12-12,6507.5
2003-12-13,6386.96
2003-12-14,6388.5
2003-12-15,6643.0
2003-12-16,6587.88
2003-12-17,6692.21
2003-12-18,6898.88
2003-12-19,6846.42
2003-12-20,6461.67
2003-12-21,6303.75
2003-12-22,6289.71
2003-12-23,5800.88
2003-12-24,5456.08
2003-12-25,5527.08
2003-12-26,5913.46
2003-12-27,5683.79
2003-12-28,5578.21
2003-12-29,5938.38
2003-12-30,5976.62
2003-12-31,6224.21
2004-01-01,5308.21
2004-01-02,5637.92
2004-01-03,5197.25
2004-01-04,5149.83
2004-01-05,6035.96
2004-01-06,6750.92
2004-01-07,7422.46
2004-01-08,7151.46
2004-01-09,6912.96
2004-01-10,7141.38
2004-01-11,6764.46
2004-01-12,6638.21
2004-01-13,6607.58
2004-01-14,6956.96
2004-01-15,7158.62
2004-01-16,7556.58
2004-01-17,6987.04
2004-01-18,6283.54
2004-01-19,7284.62
2004-01-20,7359.62
2004-01-21,7398.12
2004-01-22,7100.58
2004-01-23,7544.0
2004-01-24,6928.33
2004-01-25,7156.54
2004-01-26,7293.71
2004-01-27,7095.33
2004-01-28,7236.04
2004-01-29,7112.5
2004-01-30,7236.58
2004-01-31,7281.08
2004-02-01,6772.83
2004-02-02,7021.67
2004-02-03,6807.5
2004-02-04,6595.25
2004-02-05,6916.04
2004-02-06,6628.04
2004-02-07,6300.71
2004-02-08,6332.25
2004-02-09,6798.38
2004-02-10,6312.0
2004-02-11,6431.62
2004-02-12,6444.17
2004-02-13,6379.38
2004-02-14,6116.62
2004-02-15,6065.33
2004-02-16,6929.33
2004-02-17,6788.38
2004-02-18,6619.92
2004-02-19,6206.67
2004-02-20,6016.21
2004-02-21,5847.54
2004-02-22,5851.17
2004-02-23,6332.88
2004-02-24,6423.79
2004-02-25,6470.83
2004-02-26,6554.88
2004-02-27,6189.12
2004-02-28,5794.21
2004-02-29,5457.08
2004-03-01,5827.67
2004-03-02,5582.79
2004-03-03,5657.0
2004-03-04,5725.5
2004-03-05,5543.08
2004-03-06,5094.25
2004-03-07,5177.67
2004-03-08,6178.46
2004-03-09,6242.25
2004-03-10,6271.96
2004-03-11,6168.71
2004-03-12,6158.79
2004-03-13,5844.67
2004-03-14,5596.79
2004-03-15,5733.0
2004-03-16,6324.96
2004-03-17,6395.75
2004-03-18,6174.12
2004-03-19,5997.21
2004-03-20,5574.96
2004-03-21,5474.75
2004-03-22,6513.75
2004-03-23,6369.54
2004-03-24,5987.29
2004-03-25,5579.17
2004-03-26,5331.71
2004-03-27,4926.38
2004-03-28,4737.75
2004-03-29,5406.92
2004-03-30,5722.29
2004-03-31,5788.25
2004-04-01,5912.08
2004-04-02,5914.08
2004-04-03,5372.12
2004-04-04,5517.09
2004-04-05,6276.38
2004-04-06,5962.79
2004-04-07,5494.96
2004-04-08,5616.0
2004-04-09,5218.04
2004-04-10,5044.54
2004-04-11,4928.17
2004-04-12,5920.88
2004-04-13,5951.75
2004-04-14,5908.0
2004-04-15,5697.12
2004-04-16,5471.21
2004-04-17,4889.92
2004-04-18,4758.29
2004-04-19,5430.58
2004-04-20,5393.62
2004-04-21,5412.75
2004-04-22,5368.58
2004-04-23,5282.25
2004-04-24,4815.58
2004-04-25,4621.21
2004-04-26,5253.17
2004-04-27,5340.92
2004-04-28,5467.88
2004-04-29,5346.96
2004-04-30,5224.92
2004-05-01,4938.0
2004-05-02,4829.25
2004-05-03,5335.5
2004-05-04,5455.0
2004-05-05,5402.29
2004-05-06,5462.96
2004-05-07,5436.54
2004-05-08,4915.62
2004-05-09,4904.25
2004-05-10,5772.54
2004-05-11,5898.21
